display_time_string,display_time,Aries_start_UTC,Aries_start_local,Aries_end_UTC,Aries_end_local,Pelican_start_UTC,Pelican_start_local,Pelican_end_UTC,Pelican_end_local,Point_Sur_start_UTC,Point_Sur_start_local,Point_Sur_end_UTC,Point_Sur_end_local,Polly_start_UTC,Polly_start_local,Polly_end_UTC,Polly_end_local,direction
03 Jul 13:19,2022-07-03 13:19:00,2022-07-03 18:19:00,2022-07-03 13:19:00,2022-07-03 20:15:00,2022-07-03 15:15:00,2022-07-03 18:18:00,2022-07-03 13:18:00,2022-07-03 20:47:00,2022-07-03 15:47:00,2022-07-03 18:16:00,2022-07-03 13:16:00,2022-07-03 18:16:00,2022-07-03 13:16:00,2022-07-03 18:19:00,2022-07-03 13:19:00,2022-07-03 20:04:00,2022-07-03 15:04:00,NE
03 Jul 17:00,2022-07-03 17:00:00,2022-07-03 22:00:00,2022-07-03 17:00:00,2022-07-03 23:26:00,2022-07-03 18:26:00,2022-07-03 20:50:00,2022-07-03 15:50:00,2022-07-03 23:10:00,2022-07-03 18:10:00,2022-07-03 21:00:00,2022-07-03 16:00:00,2022-07-03 21:00:00,2022-07-03 16:00:00,2022-07-03 21:57:00,2022-07-03 16:57:00,2022-07-03 23:19:00,2022-07-03 18:19:00,SW
03 Jul 18:26,2022-07-03 18:26:00,2022-07-03 23:26:00,2022-07-03 18:26:00,2022-07-04 01:43:00,2022-07-03 20:43:00,2022-07-03 23:14:00,2022-07-03 18:14:00,2022-07-04 01:51:00,2022-07-03 20:51:00,2022-07-03 23:30:00,2022-07-03 18:30:00,2022-07-03 23:30:00,2022-07-03 18:30:00,2022-07-03 23:20:00,2022-07-03 18:20:00,2022-07-04 01:36:00,2022-07-03 20:36:00,NE
03 Jul 21:09,2022-07-03 21:09:00,2022-07-04 02:09:00,2022-07-03 21:09:00,2022-07-04 04:22:00,2022-07-03 23:22:00,2022-07-04 01:52:00,2022-07-03 20:52:00,2022-07-04 04:33:00,2022-07-03 23:33:00,2022-07-04 02:03:00,2022-07-03 21:03:00,2022-07-04 02:03:00,2022-07-03 21:03:00,2022-07-04 02:10:00,2022-07-03 21:10:00,2022-07-04 04:37:00,2022-07-03 23:37:00,SW
03 Jul 23:53,2022-07-03 23:53:00,2022-07-04 04:53:00,2022-07-03 23:53:00,2022-07-04 06:52:00,2022-07-04 01:52:00,2022-07-04 04:35:00,2022-07-03 23:35:00,2022-07-04 06:54:00,2022-07-04 01:54:00,2022-07-04 04:50:00,2022-07-03 23:50:00,2022-07-04 04:50:00,2022-07-03 23:50:00,2022-07-04 04:40:00,2022-07-03 23:40:00,2022-07-04 06:51:00,2022-07-04 01:51:00,NE
04 Jul 01:53,2022-07-04 01:53:00,2022-07-04 06:53:00,2022-07-04 01:53:00,2022-07-04 09:09:00,2022-07-04 04:09:00,2022-07-04 06:55:00,2022-07-04 01:55:00,2022-07-04 09:08:00,2022-07-04 04:08:00,2022-07-04 07:10:00,2022-07-04 02:10:00,2022-07-04 07:10:00,2022-07-04 02:10:00,2022-07-04 06:52:00,2022-07-04 01:52:00,2022-07-04 09:09:00,2022-07-04 04:09:00,SW
04 Jul 04:10,2022-07-04 04:10:00,2022-07-04 09:10:00,2022-07-04 04:10:00,2022-07-04 11:29:00,2022-07-04 06:29:00,2022-07-04 09:09:00,2022-07-04 04:09:00,2022-07-04 11:39:00,2022-07-04 06:39:00,2022-07-04 09:22:00,2022-07-04 04:22:00,2022-07-04 09:22:00,2022-07-04 04:22:00,2022-07-04 09:10:00,2022-07-04 04:10:00,2022-07-04 11:29:00,2022-07-04 06:29:00,NE
04 Jul 06:30,2022-07-04 06:30:00,2022-07-04 11:30:00,2022-07-04 06:30:00,2022-07-04 12:51:00,2022-07-04 07:51:00,2022-07-04 11:40:00,2022-07-04 06:40:00,2022-07-04 14:23:00,2022-07-04 09:23:00,2022-07-04 11:41:00,2022-07-04 06:41:00,2022-07-04 11:41:00,2022-07-04 06:41:00,2022-07-04 11:30:00,2022-07-04 06:30:00,2022-07-04 12:49:00,2022-07-04 07:49:00,SW
04 Jul 07:52,2022-07-04 07:52:00,2022-07-04 12:52:00,2022-07-04 07:52:00,2022-07-04 14:13:00,2022-07-04 09:13:00,,,,,2022-07-04 12:51:00,2022-07-04 07:51:00,2022-07-04 12:51:00,2022-07-04 07:51:00,2022-07-04 12:50:00,2022-07-04 07:50:00,2022-07-04 14:14:00,2022-07-04 09:14:00,NE
04 Jul 09:14,2022-07-04 09:14:00,2022-07-04 14:14:00,2022-07-04 09:14:00,2022-07-04 15:32:00,2022-07-04 10:32:00,,,,,2022-07-04 14:18:00,2022-07-04 09:18:00,2022-07-04 14:18:00,2022-07-04 09:18:00,2022-07-04 14:15:00,2022-07-04 09:15:00,2022-07-04 15:29:00,2022-07-04 10:29:00,SW
04 Jul 10:33,2022-07-04 10:33:00,2022-07-04 15:33:00,2022-07-04 10:33:00,2022-07-04 17:24:00,2022-07-04 12:24:00,2022-07-04 14:24:00,2022-07-04 09:24:00,2022-07-04 16:32:00,2022-07-04 11:32:00,2022-07-04 15:32:00,2022-07-04 10:32:00,2022-07-04 15:32:00,2022-07-04 10:32:00,2022-07-04 15:30:00,2022-07-04 10:30:00,2022-07-04 17:25:00,2022-07-04 12:25:00,NE
04 Jul 12:25,2022-07-04 12:25:00,2022-07-04 17:25:00,2022-07-04 12:25:00,2022-07-04 18:48:00,2022-07-04 13:48:00,,,,,2022-07-04 17:27:00,2022-07-04 12:27:00,2022-07-04 17:27:00,2022-07-04 12:27:00,2022-07-04 17:26:00,2022-07-04 12:26:00,2022-07-04 18:46:00,2022-07-04 13:46:00,SW
04 Jul 13:49,2022-07-04 13:49:00,2022-07-04 18:49:00,2022-07-04 13:49:00,2022-07-04 20:32:00,2022-07-04 15:32:00,,,,,2022-07-04 18:52:00,2022-07-04 13:52:00,2022-07-04 18:52:00,2022-07-04 13:52:00,2022-07-04 18:47:00,2022-07-04 13:47:00,2022-07-04 20:32:00,2022-07-04 15:32:00,NE
04 Jul 15:33,2022-07-04 15:33:00,2022-07-04 20:33:00,2022-07-04 15:33:00,2022-07-04 21:55:00,2022-07-04 16:55:00,,,,,2022-07-04 20:35:00,2022-07-04 15:35:00,2022-07-04 20:35:00,2022-07-04 15:35:00,2022-07-04 20:33:00,2022-07-04 15:33:00,2022-07-04 21:54:00,2022-07-04 16:54:00,SW
04 Jul 16:56,2022-07-04 16:56:00,2022-07-04 21:56:00,2022-07-04 16:56:00,2022-07-04 22:59:00,2022-07-04 17:59:00,,,,,,,,,2022-07-04 21:55:00,2022-07-04 16:55:00,2022-07-04 22:54:00,2022-07-04 17:54:00,NE
04 Jul 18:00,2022-07-04 18:00:00,2022-07-04 23:00:00,2022-07-04 18:00:00,2022-07-05 02:16:00,2022-07-04 21:16:00,,,,,,,,,2022-07-04 22:55:00,2022-07-04 17:55:00,2022-07-04 23:51:00,2022-07-04 18:51:00,SW
